Program,P,N,MeanIO,StdIO,MeanCompute,StdCompute,MeanTotal,StdTotal,GlobalSum
SERIAL,1,320000000,.76880214200000000000,.40324308375411918030,.29527154800000000000,.00041266765574248728,1.06407369200000000000,.40335535283498620752,160011001.40682590
A,2,320000000,.34434539200000000000,.00034431766160915997,.14758734400000000000,.00033718281169715635,.49193273400000000000,.00064461401221506192,160011001.40687874
B,2,320000000,.34776095200000000000,.00667909853507013325,.14752734800000000000,.00024159077527091136,.49528830600000000000,.00661315306013281383,160011001.40687874
A,4,320000000,.17011355800000000000,.00007981207813357574,.07370930000000000000,.00007848447183997609,.24382286000000000000,.00014995551113580320,160011001.40686047
B,4,320000000,.16993026600000000000,.00019910994516598109,.07372731400000000000,.00004025322178410071,.24365757800000000000,.00022389654596710508,160011001.40686047
A,8,320000000,.11521885000000000000,.00078584728419712694,.03706457800000000000,.00003551755869988814,.15228343200000000000,.00078294564869855429,160011001.40688673
B,8,320000000,.11492119000000000000,.00125372448828281247,.03708672600000000000,.00002235542046126621,.15200791400000000000,.00126651112382955405,160011001.40688673
A,16,320000000,.12131393200000000000,.00052183433974394594,.01920290800000000000,.00038495235925501222,.14051683800000000000,.00073776464508405388,160011001.40688452
B,16,320000000,.12395261200000000000,.00456588544654550000,.01931925800000000000,.00032662469315102310,.14327187000000000000,.00454042984953187003,160011001.40688449
SERIAL,1,640000000,1.40679145600000000000,.84671703529604374199,.58862005000000000000,.00064693819540973154,1.99541150800000000000,.84660091461271109118,319996853.23332161
A,2,640000000,.59630100400000000000,.01469833946111546302,.29496084800000000000,.00020044673680556638,.89126185400000000000,.01483854989334146492,319996853.23311532
B,2,640000000,.58779700800000000000,.00050004873132125832,.29522733800000000000,.00039781886689296172,.88302434800000000000,.00070236922769722763,319996853.23311532
A,4,640000000,.28187016800000000000,.00027546930546977461,.14735182200000000000,.00011421609963573436,.42922199000000000000,.00033159096965991097,319996853.23303634
B,4,640000000,.28215638200000000000,.00024092427485830480,.14735255400000000000,.00005660984953168485,.42950893600000000000,.00029352104575992502,319996853.23303634
A,8,640000000,.21035734600000000000,.00031946618090808923,.07410750800000000000,.00004381242718681538,.28446485000000000000,.00033155716906741739,319996853.23326051
B,8,640000000,.21027355400000000000,.00087068598292610637,.07415439600000000000,.00008072292725118434,.28442795000000000000,.00093833641223177521,319996853.23326051
A,16,640000000,.22310489600000000000,.00537221662252221545,.04171324600000000000,.00044864163010581173,.26481814200000000000,.00493602977504552741,319996853.23320717
B,16,640000000,.22029712600000000000,.00079701435489205588,.04175486400000000000,.00039878049694537469,.26205198800000000000,.00117715694330705113,319996853.23320717
SERIAL,1,1280000000,3.08168368400000000000,1.55450700764506875991,1.18046649800000000000,.00089861720476296245,4.26215018400000000000,1.55469897761494396114,640017018.61914265
A,2,1280000000,1.38064508600000000000,.02996400501492722684,.59213765400000000000,.00048954577479945631,1.97278274200000000000,.02996260042367577948,640017018.61952114
B,2,1280000000,1.36807726600000000000,.00384955335802791542,.59135953400000000000,.00036319222996093955,1.95943680200000000000,.00356173176369810308,640017018.61952114
A,4,1280000000,.56817930000000000000,.00059963198443712123,.29468433200000000000,.00016330294490914730,.86286363200000000000,.00070067529613652000,640017018.61962962
B,4,1280000000,.56880272200000000000,.00090701775926163650,.29469081400000000000,.00004104507259099440,.86349353200000000000,.00093488044350922219,640017018.61962962
A,8,1280000000,.41187900000000000000,.00034733980094426264,.14834505800000000000,.00009792364400899304,.56022405800000000000,.00033937517336422827,640017018.61944997
B,8,1280000000,.41198803600000000000,.00026601620496503591,.14839046400000000000,.00005394652633858828,.56037849600000000000,.00028236239654741564,640017018.61945009
A,16,1280000000,.45215191000000000000,.00232128052231521556,.08080209400000000000,.00024644198600076245,.53295400400000000000,.00214244025599408489,640017018.61941588
B,16,1280000000,.45115479800000000000,.00279207542847538415,.08040818600000000000,.00038771590891269860,.53156298400000000000,.00304189031855259370,640017018.61941588
SERIAL,1,2560000000,8.28536733400000000000,2.99641083753226053238,2.40093953000000000000,.01295468760045258675,10.68630686600000000000,2.98369017378790830511,1279979724.14776802
A,2,2560000000,3.67871413800000000000,.00468645362894118477,1.20409544000000000000,.00109474281173250916,4.88280957600000000000,.00568616243236015901,1279979724.14474821
B,2,2560000000,3.67995265200000000000,.00359158613575896297,1.20465115600000000000,.00180917098461809297,4.88460380800000000000,.00317767089167773949,1279979724.14474821
A,4,2560000000,1.06352826800000000000,.00110101507080330194,.58960596200000000000,.00021415250522933417,1.65313423000000000000,.00100089069029539884,1279979724.14500713
B,4,2560000000,1.06326252200000000000,.00103877647465467757,.58973575400000000000,.00019452973835380543,1.65299827400000000000,.00115497035845254487,1279979724.14500713
A,8,2560000000,.65941546600000000000,.00154512534512381874,.29545856200000000000,.00022862632739035108,.95487402800000000000,.00170535771584028668,1279979724.14495063
B,8,2560000000,.66130592600000000000,.00112262676099583516,.29541910400000000000,.00017958666159823785,.95672502800000000000,.00106752101883569486,1279979724.14495087
A,16,2560000000,.69678384200000000000,.00466186528458899163,.14951671400000000000,.00031046766547258991,.84630055200000000000,.00492672729027454897,1279979724.14509487
B,16,2560000000,.69477614200000000000,.00228986392850230295,.14942323400000000000,.00015381785677872384,.84419938000000000000,.00240564796277427092,1279979724.14509511
